customer_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,dti,revolving_utilization,credit_score,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
CUST-10031,61,50395,MORTGAGE,19.5,HOMEIMPROVEMENT,A,3577,6.54,0.071,13.85,72.74,747,N,35,0
CUST-10032,47,25739,RENT,15.5,MEDICAL,A,8508,7.6,0.331,26.62,43.65,773,N,29,0
CUST-10033,35,51464,MORTGAGE,9.6,VENTURE,B,4042,9.76,0.079,25.53,29.65,719,N,13,0
CUST-10034,34,36739,RENT,9.4,PERSONAL,B,3626,9.57,0.099,9.72,71.53,724,N,14,0
CUST-10035,66,224948,MORTGAGE,5.4,EDUCATION,F,5474,20.84,0.024,23.34,64.92,586,N,35,0
CUST-10036,63,47861,RENT,8.7,HOMEIMPROVEMENT,A,10784,7.34,0.225,23.42,27.96,819,N,35,0
CUST-10037,22,21109,RENT,1.2,EDUCATION,D,5215,16.25,0.247,24.05,38.22,641,N,4,0
CUST-10038,56,45228,OWN,2.5,PERSONAL,B,4761,9.51,0.105,7.51,35.59,699,N,35,0
CUST-10039,26,66944,OWN,5.1,MEDICAL,B,6161,10.51,0.092,15.94,30.98,693,N,4,0
CUST-10040,40,133788,OWN,10.4,MEDICAL,B,6717,10.8,0.05,14.76,84.22,699,N,21,0
CUST-10041,28,34417,MORTGAGE,5.4,VENTURE,A,7849,7.92,0.228,30.43,52.11,730,N,7,0
CUST-10042,58,18968,MORTGAGE,9.1,VENTURE,B,19927,9.35,1.051,29.51,40.89,732,N,35,1
CUST-10043,37,80025,MORTGAGE,3.2,MEDICAL,C,22848,13.13,0.286,35.73,35.48,686,N,15,1
CUST-10044,23,21410,RENT,5.0,MEDICAL,D,8055,16.52,0.376,19.72,73.97,588,N,1,1
CUST-10045,44,37733,RENT,19.6,DEBTCONSOLIDATION,F,11058,22.15,0.293,16.45,65.65,524,N,23,1
CUST-10046,33,42000,RENT,0.8,MEDICAL,C,2069,11.9,0.049,24.29,100.0,588,N,15,0
CUST-10047,69,47014,OWN,13.1,VENTURE,C,15267,13.09,0.325,24.61,70.44,647,N,35,1
CUST-10048,28,74124,RENT,3.7,EDUCATION,B,8849,11.21,0.119,16.27,31.42,701,N,8,0
CUST-10049,45,32526,OWN,5.2,HOMEIMPROVEMENT,D,2361,15.79,0.073,20.82,57.35,571,Y,27,0
CUST-10050,21,41596,MORTGAGE,3.0,PERSONAL,C,13366,13.93,0.321,14.91,57.58,632,N,1,0
CUST-10051,39,48602,MORTGAGE,2.6,MEDICAL,A,4676,7.52,0.096,10.97,29.04,710,Y,19,0
CUST-10052,47,53624,RENT,2.7,EDUCATION,C,10722,12.95,0.2,19.11,37.97,595,N,25,0
CUST-10053,66,51984,RENT,3.7,VENTURE,B,11825,12.01,0.227,11.09,64.1,752,N,35,0
CUST-10054,26,63678,OWN,0.1,EDUCATION,B,25952,10.14,0.408,26.08,75.05,645,N,8,0
CUST-10055,63,81332,RENT,3.4,VENTURE,D,8095,16.25,0.1,15.73,57.28,614,N,35,1
CUST-10056,27,62042,RENT,1.7,PERSONAL,C,10030,12.92,0.162,14.36,74.91,684,N,6,1
CUST-10057,66,64353,RENT,13.2,EDUCATION,E,8742,21.28,0.136,18.55,36.75,620,N,35,0
CUST-10058,54,18970,RENT,0.5,HOMEIMPROVEMENT,D,5472,18.17,0.288,19.68,79.39,573,N,33,1
CUST-10059,33,50520,RENT,3.1,EDUCATION,A,14518,8.88,0.287,26.08,40.94,795,N,13,0
CUST-10060,36,65362,MORTGAGE,14.7,PERSONAL,A,8362,8.54,0.128,24.23,61.77,756,Y,17,0
CUST-10061,55,75914,RENT,11.6,MEDICAL,B,9744,9.44,0.128,6.48,46.38,720,N,35,0
CUST-10062,69,32357,MORTGAGE,6.0,DEBTCONSOLIDATION,D,17010,15.96,0.526,32.84,71.86,672,N,35,1
CUST-10063,59,33010,RENT,4.5,PERSONAL,A,9929,6.58,0.301,27.68,19.55,771,N,35,0
CUST-10064,23,34736,MORTGAGE,1.6,PERSONAL,C,14392,14.74,0.414,20.42,38.26,618,N,5,1
CUST-10065,21,67632,MORTGAGE,2.3,MEDICAL,B,2717,13.3,0.04,19.9,48.01,628,N,1,1
CUST-10066,25,91156,RENT,0.5,EDUCATION,C,5817,14.32,0.064,25.26,93.45,672,N,6,0
CUST-10067,61,38388,RENT,7.7,EDUCATION,A,13280,9.51,0.346,10.63,85.21,764,Y,35,1
CUST-10068,23,84522,RENT,2.0,HOMEIMPROVEMENT,A,7331,8.05,0.087,13.36,73.5,722,N,4,0
CUST-10069,48,52790,MORTGAGE,5.5,PERSONAL,A,26147,7.88,0.495,29.47,65.24,756,N,28,0
CUST-10070,37,45498,MORTGAGE,2.2,VENTURE,B,5762,9.8,0.127,24.41,64.45,653,N,16,0
CUST-10071,45,43181,OWN,3.1,MEDICAL,A,24465,8.24,0.567,16.23,28.51,763,N,25,0
CUST-10072,63,76723,RENT,4.0,DEBTCONSOLIDATION,D,3576,17.6,0.047,14.74,67.34,563,Y,35,1
CUST-10073,53,59596,RENT,8.1,DEBTCONSOLIDATION,B,2269,11.76,0.038,27.44,25.77,742,N,31,0
CUST-10074,29,192046,RENT,1.2,MEDICAL,C,3534,13.62,0.018,23.11,64.87,724,N,10,0
CUST-10075,55,29397,RENT,2.5,MEDICAL,E,14458,19.74,0.492,27.49,77.23,580,N,35,0
CUST-10076,33,66893,MORTGAGE,0.7,VENTURE,B,2742,10.43,0.041,8.64,53.68,714,N,12,0
CUST-10077,50,35684,RENT,0.4,EDUCATION,A,4025,6.82,0.113,18.27,47.26,771,N,28,0
CUST-10078,67,29098,MORTGAGE,4.6,EDUCATION,D,5298,17.56,0.182,23.09,66.28,620,N,35,1
CUST-10079,34,48702,MORTGAGE,1.0,DEBTCONSOLIDATION,A,19024,5.23,0.391,20.13,34.26,712,N,13,1
CUST-10080,27,53231,MORTGAGE,0.3,MEDICAL,A,11484,5.49,0.216,19.67,64.16,799,N,9,0
CUST-10081,33,282350,RENT,11.4,PERSONAL,B,7461,9.84,0.026,8.38,49.68,716,N,14,0
CUST-10082,42,43893,OWN,3.8,HOMEIMPROVEMENT,A,1566,5.97,0.036,9.84,63.78,770,N,22,0
CUST-10083,59,24881,OTHER,0.7,MEDICAL,B,9338,11.8,0.375,17.88,79.79,735,N,35,0
CUST-10084,40,57745,OWN,0.3,PERSONAL,B,2967,9.97,0.051,2.0,30.96,734,N,19,0
CUST-10085,35,15000,MORTGAGE,0.6,PERSONAL,B,9966,11.55,0.664,51.13,58.37,743,N,16,1
CUST-10086,64,46389,MORTGAGE,3.2,EDUCATION,A,11912,9.07,0.257,29.51,52.82,766,N,35,0
CUST-10087,37,49494,MORTGAGE,5.5,DEBTCONSOLIDATION,B,9799,10.57,0.198,19.41,36.47,670,N,15,1
CUST-10088,66,78965,RENT,5.1,DEBTCONSOLIDATION,A,14681,7.89,0.186,23.07,85.44,765,Y,35,0
CUST-10089,43,87919,MORTGAGE,0.8,EDUCATION,A,5284,8.97,0.06,12.44,83.58,749,N,24,0
CUST-10090,45,36237,MORTGAGE,5.0,HOMEIMPROVEMENT,B,15178,11.7,0.419,15.05,100.0,669,N,23,1
CUST-10091,44,44785,OTHER,2.6,MEDICAL,B,5748,8.01,0.128,5.74,37.07,751,N,26,0
CUST-10092,64,30956,MORTGAGE,3.1,VENTURE,C,3840,13.01,0.124,20.11,74.4,645,Y,35,1
CUST-10093,60,24913,RENT,8.1,EDUCATION,A,5539,8.12,0.222,14.32,93.06,758,Y,35,0
CUST-10094,48,59038,MORTGAGE,2.0,MEDICAL,E,8038,19.76,0.136,25.28,89.32,545,N,28,1
CUST-10095,34,22830,OWN,0.8,EDUCATION,A,3502,6.31,0.153,12.78,25.86,748,N,14,0
CUST-10096,64,38224,RENT,10.3,PERSONAL,C,7420,11.45,0.194,15.13,59.47,683,N,35,0
CUST-10097,20,26981,RENT,1.2,PERSONAL,A,10085,8.23,0.374,23.24,68.02,822,N,1,0
CUST-10098,44,68173,MORTGAGE,1.7,EDUCATION,C,5202,12.49,0.076,4.51,69.27,599,Y,23,1
CUST-10099,26,144474,RENT,6.1,DEBTCONSOLIDATION,B,14131,10.34,0.098,9.26,35.09,701,N,5,0
CUST-10100,28,22450,RENT,5.8,DEBTCONSOLIDATION,B,7266,10.67,0.324,32.33,100.0,590,Y,7,1
CUST-10101,43,16126,RENT,8.1,HOMEIMPROVEMENT,A,2218,7.3,0.138,23.01,97.64,735,N,21,1
CUST-10102,20,45481,MORTGAGE,1.0,EDUCATION,B,7141,9.38,0.157,5.53,75.72,704,N,1,0
CUST-10103,63,49484,RENT,2.2,MEDICAL,C,2787,13.4,0.056,8.56,51.22,656,Y,35,0
CUST-10104,27,55893,RENT,,MEDICAL,C,2667,12.85,0.048,22.52,63.23,707,N,7,0
CUST-10105,43,37504,MORTGAGE,3.9,EDUCATION,A,4344,9.49,0.116,14.79,54.01,742,N,24,0
CUST-10106,30,43460,OWN,1.7,PERSONAL,B,13014,10.76,0.299,30.36,39.81,755,N,9,0
CUST-10107,36,61114,OTHER,5.8,MEDICAL,A,9436,10.58,0.154,12.21,66.83,759,N,18,0
CUST-10108,27,91515,RENT,0.0,PERSONAL,A,2080,5.92,0.023,10.6,30.47,732,N,8,0
CUST-10109,54,15168,OWN,0.3,HOMEIMPROVEMENT,A,13554,7.14,0.894,44.15,57.89,757,Y,33,1
CUST-10110,54,39286,RENT,2.8,VENTURE,A,17645,7.13,0.449,26.45,34.71,755,N,32,0
CUST-10111,52,55730,MORTGAGE,15.9,EDUCATION,C,8860,12.57,0.159,15.42,52.08,657,Y,34,1
CUST-10112,24,28260,MORTGAGE,6.0,VENTURE,B,4947,10.08,0.175,24.1,72.0,676,N,6,0
CUST-10113,61,138510,RENT,25.6,EDUCATION,C,6340,12.92,0.046,21.35,74.77,625,N,35,0
CUST-10114,58,33481,MORTGAGE,2.7,EDUCATION,C,10518,12.33,0.314,42.53,57.55,690,N,35,0
CUST-10115,60,47821,RENT,0.2,EDUCATION,B,1000,12.65,0.021,4.98,35.31,737,Y,35,0
CUST-10116,47,68433,MORTGAGE,1.8,HOMEIMPROVEMENT,B,6281,10.4,0.092,23.73,30.55,671,N,28,0
CUST-10117,26,34379,RENT,5.6,EDUCATION,E,2920,20.61,0.085,13.11,35.12,565,Y,6,1
CUST-10118,28,16188,MORTGAGE,0.7,MEDICAL,B,9109,11.69,0.563,17.46,85.46,713,N,10,0
CUST-10119,27,37903,RENT,1.8,EDUCATION,B,3760,12.21,0.099,9.81,52.85,729,N,5,0
CUST-10120,31,90913,RENT,0.3,EDUCATION,D,20294,15.32,0.223,25.0,68.7,617,Y,10,1
CUST-10121,53,40049,OTHER,3.2,EDUCATION,A,10214,9.02,0.255,8.87,16.69,790,N,35,1
CUST-10122,52,29499,MORTGAGE,1.2,VENTURE,C,9634,13.41,0.327,28.2,69.43,647,N,31,1
CUST-10123,67,85425,OWN,0.5,MEDICAL,A,6934,9.94,0.081,5.47,51.16,804,N,35,0
CUST-10124,42,40196,RENT,2.6,VENTURE,D,4565,17.13,0.114,3.51,74.12,699,N,20,0
CUST-10125,43,36094,RENT,2.2,EDUCATION,C,3064,12.12,0.085,20.61,94.69,653,N,21,1
CUST-10126,56,53619,MORTGAGE,3.9,PERSONAL,B,10785,12.01,0.201,15.91,36.82,713,N,34,0
CUST-10127,54,77843,MORTGAGE,6.9,VENTURE,C,3130,14.89,0.04,4.05,47.43,617,N,35,0
CUST-10128,63,204644,RENT,0.6,PERSONAL,C,6654,11.95,0.033,18.77,94.26,644,N,35,0
CUST-10129,59,80526,MORTGAGE,7.8,EDUCATION,B,5898,11.39,0.073,16.98,45.02,706,N,35,0
CUST-10130,41,98312,RENT,0.1,EDUCATION,D,13781,18.42,0.14,9.44,84.78,634,N,19,1
CUST-10131,46,36185,RENT,2.9,VENTURE,B,11654,11.07,0.322,19.68,92.77,693,N,24,1
CUST-10132,54,26488,RENT,4.4,VENTURE,D,16436,15.33,0.621,38.02,42.16,636,N,34,1
CUST-10133,20,50888,MORTGAGE,2.0,PERSONAL,B,4156,11.71,0.082,9.43,36.66,687,N,1,0
CUST-10134,54,52276,MORTGAGE,,MEDICAL,B,6372,11.3,0.122,28.63,53.6,735,N,33,0
CUST-10135,56,25665,MORTGAGE,0.9,VENTURE,A,12606,7.22,0.491,27.77,54.82,765,N,35,0
CUST-10136,66,44126,MORTGAGE,3.6,EDUCATION,A,9890,6.95,0.224,17.9,35.09,763,N,35,0
CUST-10137,33,62292,RENT,2.5,EDUCATION,D,5549,17.29,0.089,25.57,84.45,594,Y,14,1
CUST-10138,22,60854,OWN,3.3,VENTURE,B,27321,9.41,0.449,26.9,22.63,697,N,1,1
CUST-10139,20,66341,OWN,1.1,VENTURE,B,16605,10.74,0.25,21.06,80.75,687,N,1,0
CUST-10140,24,58371,MORTGAGE,3.5,PERSONAL,B,10176,11.94,0.174,24.84,44.73,730,N,4,0
CUST-10141,45,36163,RENT,0.8,VENTURE,A,2248,9.32,0.062,6.35,49.21,703,N,24,0
CUST-10142,33,36013,MORTGAGE,6.8,MEDICAL,B,8289,9.87,0.23,15.19,57.13,675,Y,14,1
CUST-10143,58,23876,MORTGAGE,4.5,VENTURE,B,6698,8.6,0.281,33.09,24.91,742,N,35,0
CUST-10144,46,143037,OTHER,0.4,PERSONAL,D,12669,15.65,0.089,35.58,41.94,617,N,28,0
CUST-10145,28,49418,OTHER,10.0,EDUCATION,B,4140,11.48,0.084,4.84,77.81,743,N,10,0
CUST-10146,34,42834,MORTGAGE,4.8,MEDICAL,D,6122,15.61,0.143,27.22,86.99,639,N,15,0
CUST-10147,34,28077,RENT,1.9,MEDICAL,C,13237,,0.471,28.51,59.86,683,N,14,0
CUST-10148,45,285328,OWN,0.2,EDUCATION,A,10735,6.61,0.038,13.51,14.04,765,Y,27,0
CUST-10149,61,25745,MORTGAGE,5.0,VENTURE,D,3301,15.83,0.128,25.56,100.0,587,N,35,1
CUST-10150,32,37899,MORTGAGE,2.3,MEDICAL,A,14427,7.29,0.381,18.12,67.67,753,N,12,1
CUST-10151,51,62912,RENT,11.9,VENTURE,B,8443,11.63,0.134,14.58,33.05,656,N,29,0
CUST-10152,58,70271,RENT,0.2,PERSONAL,A,6156,5.6,0.088,3.06,49.45,744,N,35,0
CUST-10153,68,87095,RENT,0.2,VENTURE,B,16545,10.84,0.19,11.8,60.0,681,N,35,0
CUST-10154,51,145011,RENT,14.9,MEDICAL,B,6300,10.81,0.043,13.97,65.61,635,N,31,0
CUST-10155,23,66416,RENT,5.0,PERSONAL,C,11979,12.31,0.18,20.86,68.08,665,N,5,0
CUST-10156,49,26013,MORTGAGE,0.1,EDUCATION,E,19313,19.93,0.742,39.71,57.52,581,N,28,1
CUST-10157,56,42017,RENT,6.3,PERSONAL,C,11957,13.28,0.285,21.7,83.57,694,N,35,0
CUST-10158,42,58965,RENT,1.3,MEDICAL,B,8661,9.14,0.147,12.41,99.54,657,N,21,1
CUST-10159,58,169555,RENT,6.0,EDUCATION,B,9680,10.41,0.057,33.98,38.81,738,N,35,0
CUST-10160,64,21190,RENT,10.2,DEBTCONSOLIDATION,D,1000,15.25,0.047,21.21,57.71,529,N,35,0
CUST-10161,34,100865,OTHER,0.5,HOMEIMPROVEMENT,A,10343,6.73,0.103,21.65,49.43,745,N,12,0
CUST-10162,62,54608,RENT,1.4,HOMEIMPROVEMENT,A,7875,8.56,0.144,15.78,16.77,819,N,35,0
CUST-10163,48,81040,RENT,0.1,MEDICAL,A,9749,7.13,0.12,29.44,22.29,749,N,30,0
CUST-10164,55,46110,OWN,0.2,HOMEIMPROVEMENT,B,3110,11.53,0.067,12.2,32.89,674,N,33,0
CUST-10165,32,29570,OWN,0.2,EDUCATION,C,18429,13.31,0.623,43.23,63.68,647,N,11,1
CUST-10166,51,76920,RENT,8.1,MEDICAL,C,3257,12.34,0.042,18.6,69.27,680,N,29,0
CUST-10167,26,72595,MORTGAGE,1.8,EDUCATION,B,4442,11.08,0.061,12.74,26.0,690,N,5,0
CUST-10168,41,87836,MORTGAGE,3.4,PERSONAL,C,11794,14.17,0.134,21.03,49.0,664,N,23,0
CUST-10169,47,48631,MORTGAGE,7.8,PERSONAL,C,6040,,0.124,19.35,58.98,663,N,25,0
CUST-10170,21,34204,MORTGAGE,3.0,MEDICAL,C,6423,14.86,0.188,6.4,68.68,669,N,1,0
CUST-10171,61,19239,OTHER,2.8,PERSONAL,A,6041,9.33,0.314,8.25,25.31,786,Y,35,0
CUST-10172,64,80147,RENT,0.1,VENTURE,B,5479,11.25,0.068,3.85,27.67,769,N,35,0
CUST-10173,25,63217,RENT,4.2,DEBTCONSOLIDATION,B,12522,10.59,0.198,32.91,73.83,703,N,6,0
CUST-10174,47,27461,RENT,0.7,PERSONAL,D,23129,18.91,0.842,33.57,37.13,621,N,29,1
CUST-10175,47,35484,RENT,7.2,MEDICAL,C,8242,14.15,0.232,8.94,43.55,608,N,25,1
CUST-10176,63,37047,OWN,1.5,VENTURE,A,7658,7.74,0.207,5.41,41.52,783,N,35,0
CUST-10177,63,20134,MORTGAGE,5.6,EDUCATION,A,4721,9.54,0.234,41.2,29.12,798,N,35,0
CUST-10178,39,30013,RENT,5.2,DEBTCONSOLIDATION,C,9961,15.42,0.332,12.27,43.82,674,Y,21,0
CUST-10179,49,24827,RENT,4.8,HOMEIMPROVEMENT,B,7222,8.77,0.291,8.93,100.0,651,N,31,1
CUST-10180,30,38273,RENT,1.6,PERSONAL,A,14177,6.89,0.37,14.74,60.7,736,N,10,0
CUST-10181,47,31469,OWN,1.6,PERSONAL,A,3609,8.2,0.115,8.96,52.05,752,N,27,0
CUST-10182,44,18468,MORTGAGE,9.9,DEBTCONSOLIDATION,A,6885,8.97,0.373,18.5,20.43,720,N,23,0
CUST-10183,58,164975,MORTGAGE,0.1,DEBTCONSOLIDATION,B,12136,9.1,0.074,31.56,18.69,775,N,35,0
CUST-10184,52,103935,MORTGAGE,1.0,MEDICAL,B,11335,11.59,0.109,15.29,51.02,714,N,34,0
CUST-10185,20,30717,MORTGAGE,2.0,PERSONAL,C,8248,13.01,0.269,26.3,61.94,683,N,1,1
CUST-10186,46,57725,MORTGAGE,8.5,VENTURE,F,5420,22.86,0.094,6.98,79.02,563,Y,26,0
CUST-10187,32,62974,RENT,2.2,EDUCATION,A,5376,6.82,0.085,24.73,36.84,754,N,12,0
CUST-10188,60,100172,MORTGAGE,5.3,DEBTCONSOLIDATION,A,11514,,0.115,28.03,31.36,708,N,35,0
CUST-10189,22,29996,MORTGAGE,4.0,HOMEIMPROVEMENT,B,14009,8.37,0.467,15.07,72.25,728,N,2,0
CUST-10190,58,94396,MORTGAGE,0.3,VENTURE,B,14735,9.15,0.156,27.7,53.14,770,N,35,0
CUST-10191,25,35286,OTHER,4.9,EDUCATION,C,6983,12.79,0.198,16.35,38.22,637,N,3,0
CUST-10192,27,21993,MORTGAGE,8.4,VENTURE,B,5816,,0.264,26.61,46.8,680,N,6,1
CUST-10193,46,75696,MORTGAGE,24.4,EDUCATION,A,9746,6.88,0.129,23.87,32.89,779,N,25,0
CUST-10194,28,106346,OWN,0.2,PERSONAL,C,7247,13.44,0.068,13.34,59.9,682,N,8,1
CUST-10195,56,231594,RENT,5.4,MEDICAL,C,6004,12.9,0.026,11.66,53.5,690,N,35,0
CUST-10196,52,23864,MORTGAGE,2.7,MEDICAL,A,6766,7.49,0.284,11.84,29.0,745,N,32,0
CUST-10197,61,74559,MORTGAGE,0.0,VENTURE,A,11146,8.62,0.149,19.54,55.14,745,N,35,0
CUST-10198,63,38335,RENT,4.8,HOMEIMPROVEMENT,B,5977,10.48,0.156,8.87,89.67,608,Y,35,1
CUST-10199,43,78434,MORTGAGE,0.7,EDUCATION,A,5906,8.15,0.075,9.9,48.58,752,N,24,0
CUST-10200,34,20286,MORTGAGE,2.4,MEDICAL,B,7462,11.36,0.368,23.32,100.0,680,N,15,0
CUST-10201,51,22979,MORTGAGE,1.5,MEDICAL,C,4387,13.31,0.191,20.17,51.56,573,N,33,0
CUST-10202,51,30775,OTHER,2.2,EDUCATION,A,10647,5.35,0.346,30.62,21.82,816,N,31,0
CUST-10203,43,51399,RENT,3.4,VENTURE,D,4607,16.8,0.09,7.97,77.07,618,Y,25,1
CUST-10204,60,33367,MORTGAGE,2.2,MEDICAL,C,7599,12.69,0.228,5.82,60.51,588,N,35,0
CUST-10205,68,72797,MORTGAGE,4.0,DEBTCONSOLIDATION,A,8739,8.53,0.12,11.71,46.82,763,N,35,0
CUST-10206,68,90774,RENT,1.4,VENTURE,B,1000,12.14,0.011,33.44,68.37,765,N,35,0
CUST-10207,31,70245,RENT,5.0,EDUCATION,B,6640,10.19,0.095,14.45,46.14,742,N,11,0
CUST-10208,58,129478,OWN,9.6,PERSONAL,A,10628,7.7,0.082,8.19,20.28,784,N,35,0
CUST-10209,21,62912,MORTGAGE,1.3,EDUCATION,A,3419,8.3,0.054,7.58,66.0,707,N,3,0
CUST-10210,22,23620,MORTGAGE,3.5,EDUCATION,B,7736,9.52,0.328,37.57,64.91,681,N,3,0
CUST-10211,68,111082,MORTGAGE,5.2,EDUCATION,C,6464,13.51,0.058,23.61,83.74,620,Y,35,1
CUST-10212,56,34095,RENT,4.2,PERSONAL,B,5283,8.64,0.155,12.9,94.07,701,N,35,1
CUST-10213,68,84647,RENT,2.3,DEBTCONSOLIDATION,A,4891,8.75,0.058,9.9,61.38,777,N,35,0
CUST-10214,36,126025,RENT,5.1,PERSONAL,E,6566,21.52,0.052,10.13,29.18,585,N,18,0
CUST-10215,68,64473,OWN,,VENTURE,C,15004,,0.233,23.8,37.15,618,Y,35,0
CUST-10216,21,19976,RENT,2.3,PERSONAL,C,9894,12.6,0.495,20.8,72.89,644,N,1,1
CUST-10217,21,28256,OTHER,3.0,EDUCATION,C,7563,13.81,0.268,38.78,62.12,687,N,2,1
CUST-10218,47,108406,OTHER,0.1,EDUCATION,B,12272,8.97,0.113,11.53,80.06,718,N,25,1
CUST-10219,42,44290,OTHER,3.5,EDUCATION,F,9245,21.48,0.209,9.53,34.68,544,Y,20,1
CUST-10220,56,51418,RENT,5.3,MEDICAL,A,12927,7.0,0.251,16.33,65.04,719,N,35,0
CUST-10221,51,77288,OWN,7.1,VENTURE,C,5459,12.87,0.071,9.73,32.17,656,N,31,0
CUST-10222,52,74443,RENT,0.6,MEDICAL,B,6998,10.76,0.094,4.67,59.11,660,N,33,0
CUST-10223,20,57946,RENT,2.0,VENTURE,D,16496,17.02,0.285,6.68,75.07,581,Y,1,1
CUST-10224,38,43252,RENT,4.7,HOMEIMPROVEMENT,C,2781,13.52,0.064,11.58,45.27,598,N,20,0
CUST-10225,21,40635,OWN,2.3,HOMEIMPROVEMENT,B,11838,11.58,0.291,24.21,63.45,760,N,3,1
CUST-10226,63,82021,RENT,1.4,VENTURE,E,8498,19.97,0.104,28.1,95.9,632,N,35,1
CUST-10227,45,68332,MORTGAGE,4.3,PERSONAL,E,6515,18.91,0.095,15.79,98.57,535,Y,27,1
CUST-10228,51,42008,RENT,10.7,DEBTCONSOLIDATION,A,27764,,0.661,24.4,47.58,723,N,29,0
CUST-10229,25,93832,RENT,3.7,DEBTCONSOLIDATION,A,3493,7.4,0.037,5.11,85.64,739,N,3,0
CUST-10230,51,45368,RENT,5.4,VENTURE,C,1904,13.04,0.042,19.36,37.06,693,N,32,0
CUST-10231,23,29407,MORTGAGE,2.2,MEDICAL,E,11247,20.11,0.382,9.04,42.05,591,N,3,1
CUST-10232,30,31089,MORTGAGE,2.5,EDUCATION,B,3239,7.94,0.104,17.59,69.05,748,N,8,0
CUST-10233,36,27248,OWN,1.7,VENTURE,A,9808,7.54,0.36,17.84,46.58,809,N,14,0
CUST-10234,57,41629,MORTGAGE,6.1,HOMEIMPROVEMENT,C,8434,13.87,0.203,19.78,48.08,667,N,35,0
